Name,Near Location,State,FIPS,Type of Facility,Listed Capacity,Max Capacity
CI California City,Kern County,California,06029,Federal,1924,6320
Delano Comm Corr Fac,Kern County,California,06029,State,2605,1909
FCI and Camp Taft,Kern County,California,06029,Federal,2110,1522
Golden State Annex,Kern County,California,06029,State,2038,2894
"Golden State Comm Corr Fac-wackenhut, McFarland Com Corr, Central Valley Correctional",Kern County,California,06029,Private,1302,5484
Kern Valley State Prison,Kern County,California,06029,State,1999,1655
Lerdo Pre-Trial Facility/Kern County,Kern County,California,06029,Local,2511,2057
Mesa Verde Ice Processing Center,Kern County,California,06029,State,337,2631
North Kern State Prison,Kern County,California,06029,State,2293,374
Shafter Community Correctional Facility,Kern County,California,06029,State,526,5619
Taft Community Correctional Facility,Kern County,California,06029,State,1674,1630
Taft Correctional Institution,Kern County,California,06029,Private,1793,5317
Unlisted - Lake County,Lake County,California,06033,Unlisted,625,4220
Unlisted - Kern County,Kern County,California,06029,Unlisted,2622,1862
Wasco State Prison,Kern County,California,06029,State,2540,2129
Avenal State Prison,Kings County,California,06031,State,1759,93
California State Prison- Corcoran,Kings County,California,06031,State,543,1083
California Substance Abuse Treatment Facility and State Prison ,Kings County,California,06031,State,1692,1755
Corcoran State Prison,Kings County,California,06031,State,447,1784
Kings County Jail,Kings County,California,06031,Local,1843,2542
Substance Abuse Treatment Facility and State Prison at Corcoran,Kings County,California,06031,State,1136,879
Unlisted - Kings County,Kings County,California,06031,Unlisted,2514,741
Hilltop Recovery Services,Lake County,California,06033,Private,13,6296
Konocti Conservation Camp,Lake County,California,06033,State,857,393
Lake County Hill Road Correctional Facility,Lake County,California,06033,Local,948,6028
California Women's Correctional Center,Lassen County,California,06035,State,2406,2857
California Men's Correctional Center,Lassen County,California,06035,State,539,2171
Federal Correctional Institution - Lassen County,Lassen County,California,06035,Federal,642,4165
High Desert State Prison,Lassen County,California,06035,State,1020,3309
Lassen County Jail,Lassen County,California,06035,Local,2658,5267
Unlisted - Lassen County II,Lassen County,California,06035,Unlisted,1991,2416
Unlisted - Lassen County I,Lassen County,California,06035,Unlisted,685,6043
Acton Conservation Camp,Los Angeles County,California,06037,State,2679,5608
California State Prison- Los Angeles County,Los Angeles County,California,06037,State,1072,3774
El Monte Center- Cornell Corrections,Los Angeles County,California,06037,Private,615,1551
Federal Correctional Institution - Los Angeles County,Los Angeles County,California,06037,Federal,2350,605
Fenner Canyon Conservation Camp,Los Angeles County,California,06037,State,2201,2704
Francisquito Conservation Camp- SCC,Los Angeles County,California,06037,State,2660,5982
Gateways CCC,Los Angeles County,California,06037,Private,2496,3949
Julius Klein Conservation Camp,Los Angeles County,California,06037,State,985,6517
Los Angeles County Men's Detention Center,Los Angeles County,California,06037,Local,2481,2145
Los Angeles MDC,Los Angeles County,California,06037,Federal,1284,4365
Metropolitan Detention Center ,Los Angeles County,California,06037,Federal,2615,5773
Pitchess Detention Center,Los Angeles County,California,06037,Local,2000,1101
Terminal Isl FCI,Los Angeles County,California,06037,Federal,1189,4167
Twin Towers Correctional Facility,Los Angeles County,California,06037,Local,400,772
Unlisted - Los Angeles County XII,Los Angeles County,California,06037,Unlisted,590,2424
Unlisted - Los Angeles CountyXI,Los Angeles County,California,06037,Unlisted,1208,909
Unlisted - Los Angeles County X,Los Angeles County,California,06037,Unlisted,1484,4769
Unlisted - Los Angeles County IX,Los Angeles County,California,06037,Unlisted,651,4126
Unlisted - Los Angeles County VIII,Los Angeles County,California,06037,Unlisted,1791,5637
Unlisted - Los Angeles County VII,Los Angeles County,California,06037,Unlisted,225,4016
Unlisted - Los Angeles County VI,Los Angeles County,California,06037,Unlisted,2061,3534
Unlisted - Los Angeles County XIII,Los Angeles County,California,06037,Unlisted,1348,6206
Unlisted - Los Angeles County IV,Los Angeles County,California,06037,Unlisted,944,2539
Unlisted - Los Angeles County III,Los Angeles County,California,06037,Unlisted,321,5038
Unlisted - Los Angeles County II,Los Angeles County,California,06037,Unlisted,717,4732
Unlisted - Los Angeles County I,Los Angeles County,California,06037,Unlisted,1476,2854
Central California Women's Facility,Madera County,California,06039,State,2559,6431
Central California Men's Facility,Madera County,California,06039,State,1238,234
Madera County Jail,Madera County,California,06039,Local,727,5339
Unlisted - Madera County,Madera County,California,06039,Unlisted,2465,6503
Valley State Prison,Madera County,California,06039,State,1337,569
Valley State Prison for Women,Madera County,California,06039,State,2519,2813
CSP San Quentin,Marin County,California,06041,State,1570,4571
Marin County Jail,Marin County,California,06041,Local,1278,2819
San Quentin State Prison,Marin County,California,06041,State,2606,5609
Unlisted - Marin County,Marin County,California,06041,Unlisted,355,4415
Mount Bullion Conservation Camp,Mariposa County,California,06043,State,1187,4742
Unlisted - Mariposa County,Mariposa County,California,06043,Unlisted,179,5533
Chamberlain Creek Conservation Camp,Mendocino County,California,06045,State,1601,5277
Mendocino County Jail,Mendocino County,California,06045,Local,598,3518
Parlin Fork Conservation Camp,Mendocino County,California,06045,State,1090,1620
Unlisted - Mendocino County,Mendocino County,California,06045,Unlisted,444,4492
Merced City Jail,Merced County,California,06047,Local,1896,2539
Merced County Jail,Merced County,California,06047,Local,688,941
United States Penitentiary ,Merced County,California,06047,Federal,178,1436
USP Atwater and Camp,Merced County,California,06047,Federal,1383,5500
Devil's Garden Conservation Camp,Modoc County,California,06049,State,949,4937
Modoc County Detention Center,Modoc County,California,06049,Local,945,4620
Unlisted - Mono County,Mono County,California,06051,Unlisted,352,4487
Correctional Training Facility,Monterey County,California,06053,State,1004,4323
Monterey County Jail,Monterey County,California,06053,Local,2513,1630
Salinas Valley State Prison Mens Complex II,Monterey County,California,06053,State,435,2887
Salinas Valley State Prison - Womens,Monterey County,California,06053,State,1506,3228
Salinas Valley State Prison Mens Complex I,Monterey County,California,06053,State,641,1732
Unlisted - Monterey County,Monterey County,California,06053,Unlisted,1144,1331
Napa County Jail,Napa County,California,06055,Local,1793,5266
Unlisted - Napa County,Napa County,California,06055,Unlisted,2684,5743
Nevada County Wayne Brown Correctional Facility,Nevada County,California,06057,Local,839,292
Washington Ridge Conservation Camp,Nevada County,California,06057,State,299,4499
Anaheim City Jail,Orange County,California,06059,Local,1692,1244
Garden Grove CCC,Orange County,California,06059,Private,1623,3272
Orange County Jail II,Orange County,California,06059,Local,2315,1021
Orange County Jail I,Orange County,California,06059,Local,1666,1101
Unlisted - Orange County III,Orange County,California,06059,Unlisted,1205,2171
Unlisted - Orange County II,Orange County,California,06059,Unlisted,963,4285
Unlisted - Orange County I,Orange County,California,06059,Unlisted,1281,1053
Placer County Jail,Placer County,California,06061,Local,2476,3809
Unlisted - Placer County,Placer County,California,06061,Unlisted,1235,3979
Unlisted - Plumas County,Plumas County,California,06063,Unlisted,938,5643
Bautista Conservation Camp- SCC,Riverside County,California,06065,State,1083,3831
Blythe City Jail,Riverside County,California,06065,Local,937,3227
California Institution for Women,Riverside County,California,06065,State,1601,1809
California Rehabilitation Center,Riverside County,California,06065,State,2207,3883
Indio Jail,Riverside County,California,06065,Local,581,2935
Ironwood State Prison,Riverside County,California,06065,State,412,2200
Chuckawalla Valley State Prison,Riverside County,California,06065,State,422,1553
Larry D. Smith Correctional Facility,Riverside County,California,06065,Local,1088,3341
Robert Presley Detention Center,Riverside County,California,06065,Local,259,4456
Southwest Detention Center,Riverside County,California,06065,Local,366,4108
Unlisted - Riverside County II,Riverside County,California,06065,Unlisted,1487,3258
Unlisted - Riverside County I,Riverside County,California,06065,Unlisted,2411,2954
California State Prison- Sacramento,Sacramento County,California,06067,State,1621,3327
Folsom State Prison,Sacramento County,California,06067,State,2178,749
Rio Cosumnes Correctional Center,Sacramento County,California,06067,State,296,1031
Sacramento County Main Jail,Sacramento County,California,06067,Local,1065,2819
Unlisted- Sacramento County,Sacramento County,California,06067,Unlisted,1812,131
Adelanto Detention Center,San Bernardino County,California,06071,Local,1060,1785
Adelanto Ice Processing Center,San Bernardino County,California,06071,County,1341,992
California Institute for Men,San Bernardino County,California,06071,State,2022,2577
California Institute for Men and Prado Conservation Camp,San Bernardino County,California,06071,State,1758,535
California Institution for Men,San Bernardino County,California,06071,State,1654,1702
California Institution for Women - San Bernardino County,San Bernardino County,California,06071,State,1937,2162
Central Detention Center,San Bernardino County,California,06071,Local,386,1892
Desert View,San Bernardino County,California,06071,State,680,3511
Desert View Community Correctional Facility,San Bernardino County,California,06071,"State,Private",1818,3385
Federal Correctional Complex ,San Bernardino County,California,06071,Federal,305,4420
Federal Correctional Institution - San Bernardino County,San Bernardino County,California,06071,Federal,2640,2181
Glen Helen Rehabilitation Center,San Bernardino County,California,06071,Local,106,1470
High Desert Juvenile Detention,San Bernardino County,California,06071,Local,2073,3147
Oak Glen Conservation Camp,San Bernardino County,California,06071,State,1006,824
Pilot Rock Conservation Camp,San Bernardino County,California,06071,State,175,1152
San Bernardino West Valley Detention Center,San Bernardino County,California,06071,Local,1710,122
United States Penitentiary - San Bernardino County,San Bernardino County,California,06071,Federal,158,3435
Unlisted - San Bernardino County,San Bernardino County,California,06071,Unlisted,2174,1092
Victorville Federal Correction Complex,San Bernardino County,California,06071,Federal,858,841
"George F. Bailey Detention Facility, Facility 8 Detention Facility,  and CCA Detention Facility",San Diego County,California,06073,Local,2046,1913
La Cima Conservation Camp,San Diego County,California,06073,State,885,4618
Las Colinas Detention Facility,San Diego County,California,06073,Local,725,4485
Marine Corps Air Station Jail,San Diego County,California,06073,Military,990,4321
McCain Valley Conservation Camp #21,San Diego County,California,06073,State,268,1628
Metropolitan Correctional Center ,San Diego County,California,06073,Federal,1397,2885
National Crossroads,San Diego County,California,06073,Private,968,3226
Pacific Furlough County,San Diego County,California,06073,Private,865,1730
Puerta La Cruz Conservation Camp #14,San Diego County,California,06073,State,2487,1329
R. J. Donovan Corr Fac At Rock Mountain,San Diego County,California,06073,State,496,290
Rainbow Conservation Camp,San Diego County,California,06073,State,2141,4497
Richard J. Donovan Correctional Facility,San Diego County,California,06073,State,873,1242
San Diego Central Jail,San Diego County,California,06073,Local,667,3270
San Diego MCC,San Diego County,California,06073,Federal,1172,1019
South Bay Detention Facility,San Diego County,California,06073,Local,567,1099
Unlisted - San Diego County II,San Diego County,California,06073,Unlisted,366,2169
Unlisted - San Diego County I,San Diego County,California,06073,Unlisted,484,4283
Vista Detention Facility,San Diego County,California,06073,Local,889,1051
Cbp Chula Vista Bps,San Diego,California,06074,State,1431,3807
Otay Mesa Detention Center ,San Diego,California,06074,State,399,3977
CC Taylor,San Francisco County,California,06075,Private,663,3829
County Jail #8 and #9,San Francisco County,California,06075,Local,1844,3225
Unlisted - San Francisco County,San Francisco County,California,06075,Unlisted,1157,1807
California Health Care Facility,San Joaquin County,California,06077,State,640,3881
Deuel Vocational Institution,San Joaquin County,California,06077,State,2473,4318
Honor Farm,San Joaquin County,California,06077,Local,561,2503
San Joaquin County Jail,San Joaquin County,California,06077,Local,1152,661
Unlisted - San Joaquin County,San Joaquin County,California,06077,Unlisted,2203,1820
California Men's Colony,San Luis Obispo County,California,06079,State,1423,2394
San Luis Obispo County,San Luis Obispo County,California,06079,Local,1401,886
San Mateo County Jail,San Mateo County,California,06081,Local,1139,3057
Unlisted - San Mateo County,San Mateo County,California,06081,Unlisted,2389,4387
Federal Correctional Complex - Santa Barbara County,Santa Barbara County,California,06083,Federal,103,4645
Federal Correctional Institution - Santa Barbara County,Santa Barbara County,California,06083,Federal,807,2099
Lompoc FCI,Santa Barbara County,California,06083,Federal,168,4505
Lompoc USP,Santa Barbara County,California,06083,Federal,2158,2248
Lompoc USP- Camp,Santa Barbara County,California,06083,Federal,339,1275
Santa Barbara County Jail,Santa Barbara County,California,06083,Local,2527,3376
United States Penitentiary - Santa Barbara County,Santa Barbara County,California,06083,Federal,1254,2737
Unlisted - Santa Barbara County III,Santa Barbara County,California,06083,Unlisted,1460,4342
Unlisted - Santa Barbara County II,Santa Barbara County,California,06083,Unlisted,969,943
Unlisted - Santa Barbara County I,Santa Barbara County,California,06083,Unlisted,2262,3873
Elmwood Correctional Facility,Santa Clara County,California,06085,Local,2405,3542
Santa Clara County- Main Jail North,Santa Clara County,California,06085,Local,258,1991
Santa Clara County- Main Jail South,Santa Clara County,California,06085,Local,322,1232
Unlisted Santa Clara County II,Santa Clara County,California,06085,Unlisted,8,2555
Unlisted - Santa Clara County I ,Santa Clara County,California,06085,Unlisted,1133,247
Santa Cruz County Medium Security Jail,Santa Cruz County,California,06087,Local,543,3172
Santa Cruz Detention Facility,Santa Cruz County,California,06087,Local,69,2056
Unlisted - Santa Cruz County,Santa Cruz County,California,06087,Unlisted,2141,501
